gdp,population,fossil_share_energy,low_carbon_share_energy,coal_share_energy,oil_share_energy,carbon_intensity_elec,greenhouse_gas_emissions,electricity_demand_per_capita,renewables_elec_per_capita,solar_share_elec,wind_share_elec,nuclear_share_elec,energy_per_gdp,renewable_share_lag_1,renewable_share_lag_2,renewable_share_lag_3,renewable_share_lag_4,renewable_share_lag_5,fossil_cons_change_pct,paris_agreement,renewable_growth,renewables_share_energy
-0.14650197783353908,-0.2166684788132518,88.038,11.962,1.448,38.202,-0.16950410976706187,-0.22488335926181227,-0.4820111609317427,-0.2562890416642123,0.007,0.272,4.705,-0.6162732185094612,10.914,11.65,11.798,10.447,10.613,0.5086823635425748,0,-0.06752794575774235,10.177
-0.1408561014459682,-0.21494019172026785,87.406,12.594,1.522,38.983,-0.21198269957805216,-0.2247461850568506,-0.4696421404729307,-0.2341062363848568,0.014,0.323,4.453,-0.597555930953077,10.177,10.914,11.65,11.798,10.447,-0.1568431495853792,0,0.07497297828436666,10.94
-0.14689740850357833,-0.21321233282937893,87.498,12.502,1.622,38.773,-0.2038101137457723,-0.22491079410280465,-0.472855007096981,-0.23783640864514682,0.014,0.448,3.977,-0.5684401503098128,10.94,10.177,10.914,11.65,11.798,0.17447858263815907,0,0.009049360146252239,11.039
-0.14049700193129175,-0.21149555961495087,87.282,12.718,1.586,38.9,-0.19343474389787002,-0.22042519760055687,-0.4501148241894459,-0.24072336293057467,0.007,0.406,4.841,-0.5809183420140689,11.039,10.94,10.177,10.914,11.65,0.032745319487235774,1,-0.013225835673521091,10.893
-0.14550483791625507,-0.2098653308017342,87.684,12.316,1.228,37.877,-0.17045550675435395,-0.21831271484414663,-0.44582748853446974,-0.26106827388806836,0.007,0.374,5.626,-0.5601213558403088,10.893,11.039,10.94,10.177,10.914,0.31750046481562727,1,-0.06618929587808686,10.172
-0.13885896410479862,-0.2083333981583376,87.453,12.547,1.263,37.47,-0.1984702910152948,-0.2205486543850224,-0.4558789234317871,-0.24927056402823436,0.014,0.419,4.182,-0.5954762323357009,10.172,10.893,11.039,10.94,10.177,0.026070313275378027,1,0.07933543059378678,10.979
-0.14520253598409424,-0.20691011783172666,86.896,13.104,1.393,36.027,-0.2459929990877395,-0.22209872290108967,-0.4608316261751969,-0.24152253017601805,0.075,0.961,4.68,-0.5715596982358767,10.979,10.172,10.893,11.039,10.94,-0.1242561796947766,1,0.03215229073686143,11.332
-0.24984766562253793,-0.31541014533523876,95.617,4.383,42.275,37.381,1.1849916384539538,-0.05615908715891557,1.2284628358386964,-0.20962327604282505,0.0,0.0,0.0,0.5556369523819225,4.383,4.3485,4.314,4.3134999999999994,4.313,0.12288567561101639,0,0.005479452054794498,4.383
-0.2506501982071125,-0.31452563047055804,95.345,4.655,43.419,36.521,1.1849916384539538,-0.05615908715891557,1.2284628358386964,-0.19928930122287597,0.003,0.0,0.0,0.5535572537645461,4.383,4.3485,4.314,4.3134999999999994,4.313,0.017608537597577783,0,0.06205795117499435,4.655
-0.24574308005223564,-0.3137667294834281,95.35,4.65,42.998,36.663,1.1849916384539538,-0.05615908715891557,1.2284628358386964,-0.198298431729036,0.007,0.0,0.0,0.5046843362562101,4.655,4.383,4.314,4.3134999999999994,4.313,0.13422226935776407,0,-0.0010741138560687036,4.65
